compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,material_type,debye_temperature
Ca2Ge2N4,122,2.09556,125.311,0.307673,21.5322,6.24277,4.41E-05,Non-Metal,506.109
O6Re2,182,2.1704,245.717,0.227756,19.5407,19.32,2.45E-05,Metal,647.878
Cu2Dy2Sn2,194,2.11654,70.2426,0.244864,17.9118,4.33028,5.35E-05,Metal,270.034
Cd33La3,221,2.62653,39.5231,0.288432,115.955,0.321074,0.000114192,Metal,196.061
Rh1Tb1,221,1.99264,103.461,0.353255,5.9786,6.20747,3.82E-05,Metal,221.031
N1Sb1Sr3,221,1.99347,41.7766,0.174104,14.8698,5.80746,6.59E-05,Non-Metal,301.004
Mg3Tb1,225,1.76502,36.5658,0.235219,11.9727,5.28399,7.74E-05,Metal,286.863
Rh5Tb1,191,2.2921,165.02,0.313014,17.331,6.08695,3.18E-05,Metal,333.054
Al1C1Tb3,221,1.60331,72.7229,0.199208,14.4497,13.5368,3.63E-05,Metal,318.993
Al4Au4Yb4,62,2.28342,56.608,0.306519,37.1543,1.02614,7.53E-05,Metal,196.904
Au1Bi1Ca1,216,2.15574,44.1785,0.306706,9.27483,2.30919,7.00E-05,Metal,169.984
Nb6Te2,223,2.07611,155.706,0.286244,22.6665,8.06703,2.71E-05,Metal,370.933
C16,62,1.77086,386.702,0.0905545,9.93484,91.6602,6.33E-06,Non-Metal,2001.07
S1Ti1,187,2.07223,126.972,0.223762,5.07948,31.6162,3.54E-05,Metal,596.865
Al4Pt12,127,2.43201,204.575,0.354903,47.2134,1.97832,3.18E-05,Metal,271.999
Cl1Na3O1,221,2.09368,26.2353,0.225867,15.4267,2.63317,0.000160032,Non-Metal,373.434
C2Dy10Ge6,193,1.92042,79.6389,0.26545,53.1827,2.65673,4.24E-05,Metal,272.002
Cu2S8Zr4,227,2.01922,92.0733,0.341974,40.4712,2.46149,4.13E-05,Metal,339.988
Br1O1Rb3,221,2.19783,12.0882,0.245313,16.9955,0.773636,0.000212914,Non-Metal,167.83
